version, 1.0
codebook_name, MF5_EAE
bit_names, b1-RS0015, b2-RS0083, b3-RS0095, b4-RS0109, b5-RS0175, b6-RS0237, b7-RS0247, b10-RS0332, b11-RS0343, b12-RS0384, b13-RS0406, b14-RS0451, b15-RS0468, b16-RS0548, b17-RS0578, b18-RS0584, b20-RS0707, b22-RS0730, b23-RS0763, b24-RS0793, b26-RS0820, b27-RS0896
name, id, barcode
Dmxl1, ENSMUST00000180611.8, 1000001000001000010000
Foxp3, ENSMUST00000115739.9, 0000010001000100000100
Gimap1, ENSMUST00000054368.7, 0010001000001000000010
Gimap5, ENSMUST00000055558.6, 0011000000110000000000
Tcf4, ENSMUST00000114985.10, 0000100100000000001001
Ccr7, ENSMUST00000103134.4, 0000000000011101000000
Rapgef5, ENSMUST00000109691.4, 0000100000000100010010
Ctnnd2, ENSMUST00000081728.7, 0001000000010100000010
Prdm1, ENSMUST00000039174.11, 0100000100000001000100
Ankrd33b, ENSMUST00000123325.9, 1000010010000000000100
Ptp4a3, ENSMUST00000165541.8, 0001100001100000000000
Ahr, ENSMUST00000116436.9, 0010000000000001000110
Igf1r, ENSMUST00000005671.10, 1000001000000010001000
Mctp2, ENSMUST00000079323.8, 0101000000010000100000
Klhl2, ENSMUST00000034017.9, 1001000001000000001000
Flt3, ENSMUST00000049324.13, 0000000000001100001100
Pglyrp1, ENSMUST00000032573.8, 0000100000000010110000
Itgal, ENSMUST00000117762.8, 0000100001000000010100
Dock4, ENSMUST00000037488.8, 0000110000000001100000
Sh2d2a, ENSMUST00000107581.9, 0001000100000100000001
Pgap1, ENSMUST00000097739.5, 0001000001000001000010
Ralgps2, ENSMUST00000172057.8, 0010001100010000000000
Thy1, ENSMUST00000114840.2, 0100001000001000001000
Tmtc2, ENSMUST00000061506.9, 0000001100001100000000
Trps1, ENSMUST00000165201.9, 0000000011000011000000
Stat3, ENSMUST00000127638.8, 0100001000000010100000
Adcy6, ENSMUST00000096224.6, 0001100000000000011000
Il17a, ENSMUST00000027061.5, 0001000001000000010001
Il17f, ENSMUST00000039046.10, 0100000100000000100010
Arg2, ENSMUST00000021550.7, 0000010001000000100010
Tet2, ENSMUST00000098603.8, 0000000010010000100100
Nav3, ENSMUST00000239301.2, 0010100101000000000000
Vcan, ENSMUST00000109546.9, 0000001000010000001010
Il2ra, ENSMUST00000028111.6, 0001000000100100010000
Cd69, ENSMUST00000032259.6, 1000000010000001001000
Itga2, ENSMUST00000056117.10, 0000000100011000100000
Il23a, ENSMUST00000026449.3, 0110000000010000000001
Cd55, ENSMUST00000027650.13, 0000100010001000001000
Alox5ap, ENSMUST00000071130.5, 0010000000100010001000
Ciita, ENSMUST00000230450.2, 0010000010000000100010
Nt5c2, ENSMUST00000235234.2, 0100000010000000010010
Slc4a8, ENSMUST00000023776.13, 0011000000000000001100
Havcr2, ENSMUST00000020668.15, 1000001000010000100000
Klrk1, ENSMUST00000032252.8, 1000000000000000001110
Gsto1, ENSMUST00000026050.8, 0001000000001001001000
Nr4a1, ENSMUST00000023779.8, 0000000000001100000011
Il10, ENSMUST00000016673.6, 1000000000000100011000
Lyve1, ENSMUST00000033050.5, 0000001100000000011000
Ccl22, ENSMUST00000034231.4, 0101000101000000000000
Rabgap1l, ENSMUST00000028049.13, 0000001010001010000000
Cxcr5, ENSMUST00000215293.2, 0001011000000001000000
Adgrg1, ENSMUST00000179619.9, 0001001000010010000000
Mrc1, ENSMUST00000028045.4, 0000100010000001000100
Slc8a1, ENSMUST00000234131.2, 0000010100000000101000
Ophn1, ENSMUST00000033560.9, 1000000000000001010010
P2ry14, ENSMUST00000091112.6, 0010000001010000000100
Cd36, ENSMUST00000170051.8, 0000000000001010001010
Itgam, ENSMUST00000064821.14, 0001100010000000000001
Prf1, ENSMUST00000219375.2, 0001010001010000000000
Cd3g, ENSMUST00000002101.12, 0011000000000110000000
Cd3d, ENSMUST00000034602.9, 1001000000000010010000
Itpr1, ENSMUST00000203615.3, 0000000000101001010000
Cd3e, ENSMUST00000102832.3, 1000000010100000010000
Pmp22, ENSMUST00000018361.10, 0101001010000000000000
Adgrg6, ENSMUST00000041168.6, 0010000100100000000001
Itgax, ENSMUST00000033053.8, 0000000110000110000000
Comt, ENSMUST00000165430.8, 0000000000100000100110
Nos2, ENSMUST00000018610.7, 0000100000001000100010
F13a1, ENSMUST00000037491.11, 0000000110000001100000
Ncr1, ENSMUST00000126417.3, 1000001000000001000100
Enpp1, ENSMUST00000105520.8, 0010000100001000001000
Zbtb46, ENSMUST00000029106.13, 0000000010000010011000
Ms4a1, ENSMUST00000169159.3, 0010010001000000010000
Tcf7, ENSMUST00000086844.10, 0000011101000000000000
Dst, ENSMUST00000115104.10, 1010000001000010000000
Cd28, ENSMUST00000027165.3, 0000001011000000001000
Ctla4, ENSMUST00000027164.9, 0000000000111010000000
Gzmb, ENSMUST00000015581.6, 0000000011000000110000
Ly6a, ENSMUST00000187994.7, 0000001010010100000000
Ly6c1, ENSMUST00000188845.7, 1100000000011000000000
Nxpe4, ENSMUST00000216998.2, 0011101000000000000000
Csf2, ENSMUST00000019060.6, 1100010000000000001000
Arhgef10l, ENSMUST00000105799.8, 0011000000000000110000
Syngr1, ENSMUST00000009727.12, 0000000000001010010100
Cyp4f16, ENSMUST00000169591.8, 1001000010010000000000
Ppfia4, ENSMUST00000168515.8, 0000010110000000010000
Trerf1, ENSMUST00000190080.9, 0010001000000100010000
Cd247, ENSMUST00000187313.7, 0000010011000000000001
Vav3, ENSMUST00000046864.14, 0000100000010010001000
Fcer2a, ENSMUST00000005678.6, 0000001000010000000101
Csf3r, ENSMUST00000106162.8, 0000010001001000001000
Tmem51, ENSMUST00000036572.4, 0100100000100000000100
Adgre1, ENSMUST00000086763.13, 0000000000010100010100
Il12a, ENSMUST00000107816.5, 0000000000010000010011
Rorc, ENSMUST00000197040.5, 0100000010001000000100
Trappc2l, ENSMUST00000015157.10, 0000010000100000001010
Bach2, ENSMUST00000108180.9, 0000100000100110000000
Eomes, ENSMUST00000035020.15, 1000000100100010000000
Pdcd1, ENSMUST00000027507.9, 0010010010000001000000
Casp6, ENSMUST00000029626.9, 1000011000000000000001
Cxcl10, ENSMUST00000118006.3, 0000000101000000100001
Il6, ENSMUST00000026845.12, 0010000010000010000100
Fcrla, ENSMUST00000046322.14, 0100000000000000000111
Cx3cr1, ENSMUST00000064165.5, 0000101000000010000100
Xylt1, ENSMUST00000032892.7, 0000001000000100100010
Fcgr1, ENSMUST00000029748.8, 0000010100000001000010
Lyl1, ENSMUST00000037165.6, 1000010000000101000000
Phlpp1, ENSMUST00000061047.7, 1010001010000000000000
Ptprc, ENSMUST00000183301.8, 0000010000001001000100
Antxr2, ENSMUST00000031281.14, 0000000100001000000101
Tnf, ENSMUST00000025263.15, 0000010010001000000010
Xcr1, ENSMUST00000182350.3, 0000000110000000001100
Cxcr6, ENSMUST00000049810.9, 1000000000000010100010
Mreg, ENSMUST00000048860.9, 1000000010001000100000
Arg1, ENSMUST00000020161.10, 0011000100000000000010
Il23r, ENSMUST00000118364.2, 0000001000100100000100
Klrb1c, ENSMUST00000167691.9, 0000101000000001010000
Fchsd2, ENSMUST00000098250.10, 0000011000000000110000
Itprid2, ENSMUST00000111785.9, 0000110000001100000000
Abca1, ENSMUST00000030010.4, 0000000000001000110001
Kmo, ENSMUST00000040250.15, 1001100000000000100000
Xbp1, ENSMUST00000063084.16, 0010010000001000000001
Nav2, ENSMUST00000064395.13, 0100000001010000001000
Slamf6, ENSMUST00000195656.6, 0011000000000001000001
Cd44, ENSMUST00000005218.15, 0001110100000000000000
Slc40a1, ENSMUST00000027137.11, 0001000010000010000010
Il1a, ENSMUST00000028882.2, 0100100001001000000000
Siglech, ENSMUST00000094360.13, 0000000000000101001010
Il1b, ENSMUST00000028881.14, 0010000100000100000100
Zmiz2, ENSMUST00000012612.11, 1100000000000011000000
Card11, ENSMUST00000085786.7, 1010000000000000010100
Fscn1, ENSMUST00000031565.15, 0000110000000000000011
Itgae, ENSMUST00000006101.4, 1000001001100000000000
Tbx21, ENSMUST00000001484.3, 0010000000101000000100
Cd68, ENSMUST00000018918.12, 0000100011000100000000
Tnfsf13, ENSMUST00000108648.3, 0001000100000010001000
Alox15, ENSMUST00000019068.7, 1000101000000000000010
Tmem86a, ENSMUST00000010451.8, 0000000001100000000011
Cd300e, ENSMUST00000062787.9, 0001100000000011000000
Cd79b, ENSMUST00000044228.11, 0000000000001110100000
Stom, ENSMUST00000028241.7, 1001000100000001000000
Il18bp, ENSMUST00000094134.5, 0000000000000000011101
Il13, ENSMUST00000020650.2, 0100001001000000000010
Trim30b, ENSMUST00000171830.2, 0001000000010000001001
Dpp4, ENSMUST00000047812.8, 0001001000001000000001
Il36g, ENSMUST00000057567.3, 0001100000000000000110
Gata3, ENSMUST00000102976.4, 1000100000000000010001
Cst7, ENSMUST00000089200.3, 0000110000000000001100
Blank-1, , 0000011000000000000110
Blank-2, , 1011000000001000000000
Blank-3, , 0100000000000001010001
Blank-4, , 0000000010100010100000
Blank-5, , 0000100100010000000100
Blank-6, , 0000000001000110001000
Blank-7, , 1000000000110000000001
Blank-8, , 0010000100000001010000
Blank-9, , 0001010000000100001000
Blank-10, , 0100101000000000000001
Blank-11, , 0000000011000000000110
Blank-12, , 0000000000101000101000
Blank-13, , 0110000000000010000010
Blank-14, , 0001000100010000010000
Blank-15, , 1000000001001001000000
Blank-16, , 0000010010000100100000
