version, 1.0
codebook_name, MsImmune
bit_names, Stv_3, Stv_4, Stv_5, Stv_6, Stv_7, Stv_8, Stv_9, Stv_10, Stv_11, Stv_12, Stv_13, Stv_14, Stv_16, Stv_19, Stv_20, Stv_21, Stv_22, Stv_23, Stv_25, Stv_26, Stv_27, Stv_28
name, id, barcode
Ebf1, ENSMUST00000101326.10, 1000001000000010001000
Runx2, ENSMUST00000113571.10, 0000000001010001010000
Map1lc3b, ENSMUST00000180548.2, 0000010100000001000010
Antxr2, ENSMUST00000031281.14, 0010100000001000010000
S100a10, ENSMUST00000148400.2, 0000010000000100010001
Stat4, ENSMUST00000027277.7, 0111010000000000000000
Rpl12, ENSMUST00000134912.7, 0010010000000000100100
Nav3, ENSMUST00000239301.2, 1001000000100000000100
Batf3, ENSMUST00000193771.6, 0000011000011000000000
Gzmb, ENSMUST00000015581.6, 0000100000100001000010
Lyve1, ENSMUST00000033050.5, 0000011000000000110000
Gm9733, ENSMUST00000108361.2, 1100000000011000000000
Fchsd2, ENSMUST00000098250.10, 0101100000000100000000
Macf1, ENSMUST00000106224.9, 0000100000001010000001
Atp2b1, ENSMUST00000020107.8, 0000100000010100000001
Il13, ENSMUST00000020650.2, 1000000001000000000101
Ctsz, ENSMUST00000016400.9, 1100000000100000000010
Klre1, ENSMUST00000203865.2, 0000010010001000000010
Nos2, ENSMUST00000018610.7, 0100000100000001000100
Itga2, ENSMUST00000056117.10, 0001001000000000010010
Trac, ENSMUST00000198398.5, 0100000000100010010000
Alox15, ENSMUST00000019068.7, 0000001100000011000000
Cd80, ENSMUST00000231716.2, 0100000000000000101001
H2afy, ENSMUST00000020283.5, 0000000001000001001100
Zbtb46, ENSMUST00000029106.13, 0010100010100000000000
Sytl3, ENSMUST00000231743.2, 0100100000100000000100
Pnp, ENSMUST00000048615.13, 0000100000010010001000
Cd69, ENSMUST00000032259.6, 0000000011000000000110
Dbi, ENSMUST00000135937.2, 0000110000000000001100
Lyz1, ENSMUST00000092162.7, 0000010001100010000000
Nme2, ENSMUST00000021217.11, 0100010001000001000000
Itga4, ENSMUST00000099972.5, 0000010011000000000001
Tigit, ENSMUST00000096065.6, 0000000000010001100010
Grn, ENSMUST00000239431.2, 0100100001001000000000
Mpeg1, ENSMUST00000081035.9, 1000001000010000100000
Pglyrp1, ENSMUST00000206481.2, 0100100100000010000000
Cd8a, ENSMUST00000066747.14, 0100001000000010100000
Eomes, ENSMUST00000111763.8, 0100010100000000000001
Rrbp1, ENSMUST00000016072.12, 0000000000011000011000
Fcrls, ENSMUST00000090986.11, 0000100010001000001000
Gata3, ENSMUST00000102976.4, 0000000000001010010100
Il2ra, ENSMUST00000028111.6, 0010000100000001010000
Foxp1, ENSMUST00000113326.9, 0000000001100000011000
Hdc, ENSMUST00000028838.5, 0011101000000000000000
Trbc2, ENSMUST00000103299.3, 0010000000010010010000
Itgb5, ENSMUST00000115028.11, 0101000000001010000000
Napsa, ENSMUST00000002274.10, 0000010000010000100001
Cd3d, ENSMUST00000034602.9, 0000000000000000111010
Epb41l2, ENSMUST00000053748.16, 0100001000001000001000
C5ar1, ENSMUST00000050770.6, 0000010000010011000000
Thy1, ENSMUST00000114840.2, 0100000001010000001000
Vcan, ENSMUST00000109546.9, 0000000001001000010010
Iqgap1, ENSMUST00000167377.3, 0000000000000011000011
Il27, ENSMUST00000058429.6, 1100010000000000001000
Slfn4, ENSMUST00000000208.13, 0100000010000100000001
Il23r, ENSMUST00000118364.2, 0000100100100000010000
P2ry12, ENSMUST00000050360.14, 0001100000000000011000
Il12a, ENSMUST00000107816.5, 0000001000001001100000
Bcl2a1b, ENSMUST00000068569.5, 1000001000001000010000
Tbc1d8, ENSMUST00000054462.11, 0000001000000100100010
Serpine2, ENSMUST00000027467.11, 0100000000101000000001
Havcr2, ENSMUST00000020668.15, 0000101000000001010000
Slamf6, ENSMUST00000171330.7, 0000000010100010100000
Bcl6, ENSMUST00000023151.6, 0000001010000001000010
Trbc1, ENSMUST00000192856.6, 0000100010010000010000
Ncr1, ENSMUST00000126417.3, 0000100011000100000000
Tnfsf12, ENSMUST00000181810.8, 0000000000011000000110
Trem2, ENSMUST00000132340.2, 0000000011101000000000
Enpp1, ENSMUST00000105520.8, 0000000001010010100000
H2-DMa, ENSMUST00000042121.11, 0000000000001100000011
Rel, ENSMUST00000102864.5, 0010001000001000000010
Syngr2, ENSMUST00000026649.14, 0000000000101000101000
Clec4a3, ENSMUST00000088468.7, 0110000000000001100000
Mmp9, ENSMUST00000017881.3, 1010000000100001000000
Foxp3, ENSMUST00000115739.9, 1000000001010000000010
Cd3e, ENSMUST00000102832.3, 0010000010000100001000
Lyst, ENSMUST00000110559.3, 0000000000010000010011
Map4k4, ENSMUST00000163854.9, 0000000000100000100110
Fos, ENSMUST00000140525.8, 0000010001000100000100
Lrp1, ENSMUST00000049149.15, 0000101000000010000100
Gimap4, ENSMUST00000090070.6, 0000000011000000110000
Lair1, ENSMUST00000086400.13, 0000001000110001000000
Rgs10, ENSMUST00000033133.12, 0000000000001110100000
Mmp14, ENSMUST00000089688.6, 0000100001000001000001
Cxcl10, ENSMUST00000201176.2, 0100001001000000000010
Fscn1, ENSMUST00000031565.15, 1000000000001000001001
Arg1, ENSMUST00000020161.10, 0000100100001001000000
Irf4, ENSMUST00000021784.10, 0100000100110000000000
Qk, ENSMUST00000097414.11, 0101000000100001000000
Cd209a, ENSMUST00000012847.3, 0000000101000101000000
Zeb2, ENSMUST00000068415.11, 1000000010000001001000
Mef2a, ENSMUST00000156690.8, 1000000100100010000000
Mif, ENSMUST00000038169.8, 0100001000000101000000
Cd4, ENSMUST00000024044.7, 0000000000010100101000
Flt3, ENSMUST00000110549.3, 0011000000110000000000
Csf2, ENSMUST00000019060.6, 0000001010000000100001
Irf8, ENSMUST00000047737.10, 0001000000100010000001
Cacnb3, ENSMUST00000230490.2, 1000100000010001000000
Birc2, ENSMUST00000190341.7, 0000001000100010000010
Icos, ENSMUST00000027162.12, 1000010000010000010000
Tcrg-C2, ENSMUST00000103561.3, 0000001000000001001001
Gabarap, ENSMUST00000018711.15, 1010000000000000010100
Ms4a6b, ENSMUST00000161157.8, 0100110000000000010000
Iglc3, ENSMUST00000200235.2, 0001001000100000001000
Fn1, ENSMUST00000188894.7, 0000000000000110000110
Treml4, ENSMUST00000059873.14, 0000001000010000000101
Cd37, ENSMUST00000209779.2, 1010001010000000000000
Serinc3, ENSMUST00000017851.4, 0000001000000000101100
Smpdl3a, ENSMUST00000020022.8, 0010000000101000000100
Rras, ENSMUST00000044111.10, 0011000011000000000000
Stat3, ENSMUST00000127638.8, 0000000110000001100000
Dusp2, ENSMUST00000028846.7, 0001010010100000000000
Ass1, ENSMUST00000126474.7, 0001100001100000000000
Il33, ENSMUST00000120388.9, 0001000000001000100100
Cxcr6, ENSMUST00000216072.2, 0001000000010100000010
Cstb, ENSMUST00000005185.8, 0000100000000010110000
Srrm2, ENSMUST00000190686.7, 0011000000000000110000
Tbx21, ENSMUST00000001484.3, 0000001000010000001010
Olfm1, ENSMUST00000100244.10, 0000100001000010000010
Cxcr5, ENSMUST00000215293.2, 0001100000000000000110
Blank-1, , 0000001011000000001000
Blank-2, , 0010000000000001000110
Blank-3, , 0000010000000010010010
Blank-4, , 0000000000001100001100
Blank-5, , 0001000100000100000001
Blank-6, , 0000000010010010000001
Blank-7, , 0000000000100011000100
Blank-8, , 0000000111010000000000
Blank-9, , 0100000100000000100010
Blank-10, , 0001100000000011000000
Blank-11, , 0000000000000111010000
Blank-12, , 0001000010000000101000
Blank-13, , 0000000000110000110000
Blank-14, , 0010000010000000100010
Blank-15, , 0100000001000010000001
Blank-16, , 0000010010010000001000
Blank-17, , 1101000000000000000001
Blank-18, , 1100000011000000000000
Blank-19, , 0000000100011000100000
Blank-20, , 0000010100000000101000
